x to 2.JPG,y to 2.JPG
1745.77,1359.93
1531.64,2710
797.571,1929.37
2977.15,1167.65
1268.09,1735.92
1564.02,206.525
1565.94,2031.36
2586.81,580.058
1567.96,103.794
2854.3,1023.06
1578.49,1404.71
2164.5,2303.09
489.816,169.723
3249.94,970.071
1528.96,2323.93
1694.44,478.004
2586.81,580.058
2091.1,667.013
1585.88,903.546
1587.16,1407.3
1123.15,2838.93
1578.86,107.999
1589.01,901.5
1580.17,116.961
3458.06,1344.2
1589.61,1409.7
1746.06,1340.35
1947.5,459.232
1594.47,1410.72
1078.83,1925.59
1600.47,932.905
1600,891.07
1598.52,268.056
1601.73,1384.52
1573.19,2229.27
1602.82,913.662
2675.1,1218.79
1518.85,1488.71
1250.47,2006.54
2011.8,1478.49
2466.85,950.487
1610.25,1424.61
2910.06,670.036
1614.71,657.73
1612.78,1399.81
1804.17,1240.78
1614.19,1420.14
2712.82,2847.04
1564.62,1357.87
3849.98,882.954
2282.77,418.628
1620.53,298.216
1622.04,892.263
3431.34,1506.45
3422.65,720.066
2757.76,1231.16
1622.9,202.171
1623.17,1384.38
1839.86,2044.36
1744.82,1352.89
1116.18,2842.56
1043.2,1242.83
1485.08,2503.66
3403.1,1091.93
1628.13,308.781
1628.91,312.072
1592.56,1354.31
1430.23,1018.55
507.404,1057.14
1463.42,1739.6
1634.94,298.137
1636.45,302.361
2773.7,1103.9
1103.66,2930.9
1635.79,82.2452
375.66,2658.52
2912.11,2947.97
1639.83,307.853
2897.84,1161.69
1641.64,887.125
3533.2,1384.03
1633.72,1444.41
1315.05,1272.62
3140,2388.59
1648.19,304.354
1271,134.018
1645.14,1311.48
2062.27,1733.42
1648.06,86.0549
1308.69,911.248
1502.35,1709.45
1648.34,1394.97
1654.34,326.286
1656.44,145.869
1653.57,276.709
1656,574.324
2334.27,1270.33
1381.11,2700.96
1823.93,1957.63
2340.43,2625.99
1652.61,1412.34
1603.85,2090.67
1659.53,886.543
2284.44,791.33
1656.17,1397.82
2727.11,2661.46
1308.65,1421.19
1413.58,1872.34
1521.77,1139.67
1778.73,2949.12
1460.93,2213.87
